target_node,root_cause_node,issue_type,severity,affected_column,paths,IssueNumber,DetailedPathDescription,timestamp,textual_representation,structured_textual_summary
Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSite,latency,0.035630486,availability_Average,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'Servi-searc.us-west-2.elb.amazonaws.com_remote']",1_41,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate, to Servi-searc.us-west-2.elb.amazonaws.com_remote.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.04 was detected. Root Cause Node: PetSite, Target Node: Servi-searc.us-west-2.elb.amazonaws.com_remote, Affected Metric: availability_Average. Path: ['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'Servi-searc.us-west-2.elb.amazonaws.com_remote']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.04, with 'PetSite' identified as the root cause and 'Servi-searc.us-west-2.elb.amazonaws.com_remote' as the target. The affected metric was 'availability_Average'. The path involved: ['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'Servi-searc.us-west-2.elb.amazonaws.com_remote']."
PetSearch_AWS::ECS::Fargate,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,latency,0.052732872,availability_Average,"['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",0_4,"The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.",2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.05 was detected. Root Cause Node: AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, Target Node: PetSearch_AWS::ECS::Fargate, Affected Metric: availability_Average. Path: ['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.05, with 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement' identified as the root cause and 'PetSearch_AWS::ECS::Fargate' as the target. The affected metric was 'availability_Average'. The path involved: ['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']."
lambda_step_priceGreaterThan55_AWS::Lambda,Evidently_AWS::Evidently,latency,0.06827962,latency_Average,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",0_38,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.",2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.07 was detected. Root Cause Node: Evidently_AWS::Evidently, Target Node: lambda_step_priceGreaterThan55_AWS::Lambda, Affected Metric: latency_Average. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.07, with 'Evidently_AWS::Evidently' identified as the root cause and 'lambda_step_priceGreaterThan55_AWS::Lambda' as the target. The affected metric was 'latency_Average'. The path involved: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']."
adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,payforadoption_AWS::ECS::Container,latency,0.055231557,latency_Average,"['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']",2_19,The path of the issue is from payforadoption_AWS::ECS::Container to adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL.,2023-04-19 5:27,"On 2023-04-19 5:27, a latency issue with severity 0.06 was detected. Root Cause Node: payforadoption_AWS::ECS::Container, Target Node: adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL, Affected Metric: latency_Average. Path: ['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']","On 2023-04-19 5:27, a latency issue was detected. The issue had a severity of 0.06, with 'payforadoption_AWS::ECS::Container' identified as the root cause and 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL' as the target. The affected metric was 'latency_Average'. The path involved: ['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']."
lambda_step_priceLessThan55_AWS::Lambda,AWS::StepFunctions::StateMachine,latency,0.123899119,latency_Average,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']",1_4,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda, to lambda_step_priceLessThan55_AWS::Lambda::Function.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.12 was detected. Root Cause Node: AWS::StepFunctions::StateMachine, Target Node: lambda_step_priceLessThan55_AWS::Lambda, Affected Metric: latency_Average. Path: ['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.12, with 'AWS::StepFunctions::StateMachine' identified as the root cause and 'lambda_step_priceLessThan55_AWS::Lambda' as the target. The affected metric was 'latency_Average'. The path involved: ['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']."
lambdastatusupdater_AWS::Lambda::Function,invalid_AWS::DynamoDB::Table,latency,0.06210741,latency_p99,"['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']",0_12,"The path of the issue is from lambdastatusupdater_AWS::Lambda, through lambdastatusupdater_AWS::Lambda::Function, to invalid_AWS::DynamoDB::Table.",2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.06 was detected. Root Cause Node: invalid_AWS::DynamoDB::Table, Target Node: lambdastatusupdater_AWS::Lambda::Function, Affected Metric: latency_p99. Path: ['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.06, with 'invalid_AWS::DynamoDB::Table' identified as the root cause and 'lambdastatusupdater_AWS::Lambda::Function' as the target. The affected metric was 'latency_p99'. The path involved: ['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']."
lambda_step_readDDB,DynamoDB_AWS::DynamoDB,latency,0.091220169,latency_p50,"['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_13,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.",2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.09 was detected. Root Cause Node: DynamoDB_AWS::DynamoDB, Target Node: lambda_step_readDDB, Affected Metric: latency_p50. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.09, with 'DynamoDB_AWS::DynamoDB' identified as the root cause and 'lambda_step_readDDB' as the target. The affected metric was 'latency_p50'. The path involved: ['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']."
PetSite,AWS::StepFunctions::StateMachine,latency,0.096500346,latency_p99,"['PetSite', 'AWS::StepFunctions::StateMachine']",2_6,The path of the issue is from PetSite to AWS::StepFunctions::StateMachine.,2023-04-19 5:27,"On 2023-04-19 5:27, a latency issue with severity 0.10 was detected. Root Cause Node: AWS::StepFunctions::StateMachine, Target Node: PetSite, Affected Metric: latency_p99. Path: ['PetSite', 'AWS::StepFunctions::StateMachine']","On 2023-04-19 5:27, a latency issue was detected. The issue had a severity of 0.10, with 'AWS::StepFunctions::StateMachine' identified as the root cause and 'PetSite' as the target. The affected metric was 'latency_p99'. The path involved: ['PetSite', 'AWS::StepFunctions::StateMachine']."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.089257065,availability_Average,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",1_7,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.09 was detected. Root Cause Node: PetSearch_AWS::ECS::Fargate, Target Node: PetSearch_client, Affected Metric: availability_Average. Path: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.09, with 'PetSearch_AWS::ECS::Fargate' identified as the root cause and 'PetSearch_client' as the target. The affected metric was 'availability_Average'. The path involved: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']."
lambda_step_readDDB_AWS::Lambda,lambda_step_readDDB,latency,0.064120316,latency_Average,"['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'SSM_AWS::SSM']",1_6,"The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to SSM_AWS::SSM.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.06 was detected. Root Cause Node: lambda_step_readDDB, Target Node: lambda_step_readDDB_AWS::Lambda, Affected Metric: latency_Average. Path: ['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'SSM_AWS::SSM']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.06, with 'lambda_step_readDDB' identified as the root cause and 'lambda_step_readDDB_AWS::Lambda' as the target. The affected metric was 'latency_Average'. The path involved: ['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'SSM_AWS::SSM']."
AWS::StepFunctions::StateMachine,Evidently_AWS::Evidently,latency,0.060506775,latency_p99,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",2_1,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.",2023-04-19 5:27,"On 2023-04-19 5:27, a latency issue with severity 0.06 was detected. Root Cause Node: Evidently_AWS::Evidently, Target Node: AWS::StepFunctions::StateMachine, Affected Metric: latency_p99. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']","On 2023-04-19 5:27, a latency issue was detected. The issue had a severity of 0.06, with 'Evidently_AWS::Evidently' identified as the root cause and 'AWS::StepFunctions::StateMachine' as the target. The affected metric was 'latency_p99'. The path involved: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']."
PetSite,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,latency,0.096312792,availability_Average,"['PetSite', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",1_0,"The path of the issue is from PetSite, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.10 was detected. Root Cause Node: AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, Target Node: PetSite, Affected Metric: availability_Average. Path: ['PetSite', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.10, with 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement' identified as the root cause and 'PetSite' as the target. The affected metric was 'availability_Average'. The path involved: ['PetSite', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']."
lambdastatusupdater_AWS::Lambda::Function,payforadoption_AWS::ECS::Container,latency,0.057861635,latency_p95,"['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']",1_14,"The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda, to lambdastatusupdater_AWS::Lambda::Function.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.06 was detected. Root Cause Node: payforadoption_AWS::ECS::Container, Target Node: lambdastatusupdater_AWS::Lambda::Function, Affected Metric: latency_p95. Path: ['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.06, with 'payforadoption_AWS::ECS::Container' identified as the root cause and 'lambdastatusupdater_AWS::Lambda::Function' as the target. The affected metric was 'latency_p95'. The path involved: ['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.1089457,availability_Average,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate']",2_30,The path of the issue is from PetSearch_client to PetSearch_AWS::ECS::Fargate.,2023-04-19 5:27,"On 2023-04-19 5:27, a latency issue with severity 0.11 was detected. Root Cause Node: PetSearch_AWS::ECS::Fargate, Target Node: PetSearch_client, Affected Metric: availability_Average. Path: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate']","On 2023-04-19 5:27, a latency issue was detected. The issue had a severity of 0.11, with 'PetSearch_AWS::ECS::Fargate' identified as the root cause and 'PetSearch_client' as the target. The affected metric was 'availability_Average'. The path involved: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate']."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.063621655,latency_p50,"['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",1_33,The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB.,2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.06 was detected. Root Cause Node: lambda_step_readDDB_AWS::Lambda::Function, Target Node: lambda_step_readDDB, Affected Metric: latency_p50. Path: ['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.06, with 'lambda_step_readDDB_AWS::Lambda::Function' identified as the root cause and 'lambda_step_readDDB' as the target. The affected metric was 'latency_p50'. The path involved: ['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']."
PetSite,SimpleSystemsManagement_AWS::SimpleSystemsManagement,latency,0.055479396,availability_Average,"['PetSite', 'SimpleSystemsManagement_AWS::SimpleSystemsManagement']",0_25,The path of the issue is from PetSite to SimpleSystemsManagement_AWS::SimpleSystemsManagement.,2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.06 was detected. Root Cause Node: SimpleSystemsManagement_AWS::SimpleSystemsManagement, Target Node: PetSite, Affected Metric: availability_Average. Path: ['PetSite', 'SimpleSystemsManagement_AWS::SimpleSystemsManagement']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.06, with 'SimpleSystemsManagement_AWS::SimpleSystemsManagement' identified as the root cause and 'PetSite' as the target. The affected metric was 'availability_Average'. The path involved: ['PetSite', 'SimpleSystemsManagement_AWS::SimpleSystemsManagement']."
