target_node,root_cause_node,issue_type,severity,affected_column,timestamp,paths,IssueNumber,DetailedPathDescription,Summary
PetSite,169.254.170.2_remote,latency,0.0367427920847994,latency_p95,2024-05-26 22:56:52.355803,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",0_15,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:56:52.355803, a latency issue at target node PetSite, primarily caused by root cause node 169.254.170.2_remote, affects latency_p95 with a severity of 0.037. The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
Servi-searc.us-west-2.elb.amazonaws.com_remote,PetSite,latency,0.0356304856827777,availability_Average,2024-05-26 22:57:09.788443,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'Servi-searc.us-west-2.elb.amazonaws.com_remote']",1_41,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate, to Servi-searc.us-west-2.elb.amazonaws.com_remote.","On 2024-05-26 22:57:09.788443, a latency issue at target node Servi-searc.us-west-2.elb.amazonaws.com_remote, primarily caused by root cause node PetSite, affects availability_Average with a severity of 0.036. The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate, to Servi-searc.us-west-2.elb.amazonaws.com_remote."
lambda_step_priceLessThan55_AWS::Lambda::Function,lambda_step_priceLessThan55,latency,0.0949121136806595,availability_Average,2024-05-26 22:56:56.147137,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function', 'lambda_step_priceLessThan55']",0_31,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function, to lambda_step_priceLessThan55.","On 2024-05-26 22:56:56.147137, a latency issue at target node lambda_step_priceLessThan55_AWS::Lambda::Function, primarily caused by root cause node lambda_step_priceLessThan55, affects availability_Average with a severity of 0.095. The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function, to lambda_step_priceLessThan55."
PetSearch_AWS::ECS::Fargate,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,latency,0.052732872099401,availability_Average,2024-05-26 22:56:49.827028,"['petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",0_4,"The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.","On 2024-05-26 22:56:49.827028, a latency issue at target node PetSearch_AWS::ECS::Fargate, primarily caused by root cause node AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, affects availability_Average with a severity of 0.053. The path of the issue is from petlistadoptions_AWS::ECS::Fargate, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement."
lambda_step_priceGreaterThan55_AWS::Lambda,Evidently_AWS::Evidently,latency,0.0682796201161011,latency_Average,2024-05-26 22:56:57.815537,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",0_38,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.","On 2024-05-26 22:56:57.815537, a latency issue at target node lambda_step_priceGreaterThan55_AWS::Lambda, primarily caused by root cause node Evidently_AWS::Evidently, affects latency_Average with a severity of 0.068. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently."
adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL,payforadoption_AWS::ECS::Container,latency,0.0552315567092275,latency_Average,2024-05-26 22:57:16.225494,"['payforadoption_AWS::ECS::Container', 'adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL']",2_19,The path of the issue is from payforadoption_AWS::ECS::Container to adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL.,"On 2024-05-26 22:57:16.225494, a latency issue at target node adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL, primarily caused by root cause node payforadoption_AWS::ECS::Container, affects latency_Average with a severity of 0.055. The path of the issue is from payforadoption_AWS::ECS::Container to adoptions@services-database.us-west-2.rds.amazonaws.com_Database::SQL."
lambda_step_priceLessThan55_AWS::Lambda,AWS::StepFunctions::StateMachine,latency,0.1238991194220705,latency_Average,2024-05-26 22:57:01.478946,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function']",1_4,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda, to lambda_step_priceLessThan55_AWS::Lambda::Function.","On 2024-05-26 22:57:01.478946, a latency issue at target node lambda_step_priceLessThan55_AWS::Lambda, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_Average with a severity of 0.124. The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda, to lambda_step_priceLessThan55_AWS::Lambda::Function."
Evidently_AWS::Evidently,lambda_step_priceLessThan55,latency,0.097135301594215,latency_p90,2024-05-26 22:57:02.808322,"['lambda_step_priceLessThan55', 'Evidently_AWS::Evidently']",1_10,The path of the issue is from lambda_step_priceLessThan55 to Evidently_AWS::Evidently.,"On 2024-05-26 22:57:02.808322, a latency issue at target node Evidently_AWS::Evidently, primarily caused by root cause node lambda_step_priceLessThan55, affects latency_p90 with a severity of 0.097. The path of the issue is from lambda_step_priceLessThan55 to Evidently_AWS::Evidently."
lambdastatusupdater_AWS::Lambda::Function,invalid_AWS::DynamoDB::Table,latency,0.0621074101502787,latency_p99,2024-05-26 22:56:51.640326,"['lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'invalid_AWS::DynamoDB::Table']",0_12,"The path of the issue is from lambdastatusupdater_AWS::Lambda, through lambdastatusupdater_AWS::Lambda::Function, to invalid_AWS::DynamoDB::Table.","On 2024-05-26 22:56:51.640326, a latency issue at target node lambdastatusupdater_AWS::Lambda::Function, primarily caused by root cause node invalid_AWS::DynamoDB::Table, affects latency_p99 with a severity of 0.062. The path of the issue is from lambdastatusupdater_AWS::Lambda, through lambdastatusupdater_AWS::Lambda::Function, to invalid_AWS::DynamoDB::Table."
lambda_step_readDDB,DynamoDB_AWS::DynamoDB,latency,0.0912201692486074,latency_p50,2024-05-26 22:56:51.889778,"['AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_13,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.","On 2024-05-26 22:56:51.889778, a latency issue at target node lambda_step_readDDB, primarily caused by root cause node DynamoDB_AWS::DynamoDB, affects latency_p50 with a severity of 0.091. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB."
PetSite,AWS::StepFunctions::StateMachine,latency,0.0965003457668182,latency_p99,2024-05-26 22:57:13.249944,"['PetSite', 'AWS::StepFunctions::StateMachine']",2_6,The path of the issue is from PetSite to AWS::StepFunctions::StateMachine.,"On 2024-05-26 22:57:13.249944, a latency issue at target node PetSite, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_p99 with a severity of 0.097. The path of the issue is from PetSite to AWS::StepFunctions::StateMachine."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.0892570645744737,availability_Average,2024-05-26 22:57:02.146405,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",1_7,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:57:02.146405, a latency issue at target node PetSearch_client, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects availability_Average with a severity of 0.089. The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
lambda_step_readDDB_AWS::Lambda,lambda_step_readDDB,latency,0.0641203157100622,latency_Average,2024-05-26 22:57:01.924080,"['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'SSM_AWS::SSM']",1_6,"The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to SSM_AWS::SSM.","On 2024-05-26 22:57:01.924080, a latency issue at target node lambda_step_readDDB_AWS::Lambda, primarily caused by root cause node lambda_step_readDDB, affects latency_Average with a severity of 0.064. The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to SSM_AWS::SSM."
AWS::StepFunctions::StateMachine,Evidently_AWS::Evidently,latency,0.0605067753656407,latency_p99,2024-05-26 22:57:12.114296,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55', 'Evidently_AWS::Evidently']",2_1,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently.","On 2024-05-26 22:57:12.114296, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node Evidently_AWS::Evidently, affects latency_p99 with a severity of 0.061. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function to lambda_step_priceGreaterThan55, to Evidently_AWS::Evidently."
PetSite,AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement,latency,0.0963127923738113,availability_Average,2024-05-26 22:57:00.588828,"['PetSite', 'PetSearch_AWS::ECS::Fargate', 'AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement']",1_0,"The path of the issue is from PetSite, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement.","On 2024-05-26 22:57:00.588828, a latency issue at target node PetSite, primarily caused by root cause node AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement, affects availability_Average with a severity of 0.096. The path of the issue is from PetSite, through PetSearch_AWS::ECS::Fargate, to AWSSimpleSystemsManagement_AWS::AWSSimpleSystemsManagement."
lambdastatusupdater_AWS::Lambda::Function,payforadoption_AWS::ECS::Container,latency,0.0578616350850049,latency_p95,2024-05-26 22:57:03.704813,"['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function']",1_14,"The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda, to lambdastatusupdater_AWS::Lambda::Function.","On 2024-05-26 22:57:03.704813, a latency issue at target node lambdastatusupdater_AWS::Lambda::Function, primarily caused by root cause node payforadoption_AWS::ECS::Container, affects latency_p95 with a severity of 0.058. The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda, to lambdastatusupdater_AWS::Lambda::Function."
PetSearch_client,PetSearch_AWS::ECS::Fargate,latency,0.108945700069037,availability_Average,2024-05-26 22:57:18.748261,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate']",2_30,The path of the issue is from PetSearch_client to PetSearch_AWS::ECS::Fargate.,"On 2024-05-26 22:57:18.748261, a latency issue at target node PetSearch_client, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects availability_Average with a severity of 0.109. The path of the issue is from PetSearch_client to PetSearch_AWS::ECS::Fargate."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.063621655168078,latency_p50,2024-05-26 22:57:07.967329,"['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",1_33,The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB.,"On 2024-05-26 22:57:07.967329, a latency issue at target node lambda_step_readDDB, primarily caused by root cause node lambda_step_readDDB_AWS::Lambda::Function, affects latency_p50 with a severity of 0.064. The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB."
PetSite,SimpleSystemsManagement_AWS::SimpleSystemsManagement,latency,0.0554793955175345,availability_Average,2024-05-26 22:56:54.741422,"['PetSite', 'SimpleSystemsManagement_AWS::SimpleSystemsManagement']",0_25,The path of the issue is from PetSite to SimpleSystemsManagement_AWS::SimpleSystemsManagement.,"On 2024-05-26 22:56:54.741422, a latency issue at target node PetSite, primarily caused by root cause node SimpleSystemsManagement_AWS::SimpleSystemsManagement, affects availability_Average with a severity of 0.055. The path of the issue is from PetSite to SimpleSystemsManagement_AWS::SimpleSystemsManagement."
lambda_step_readDDB_AWS::Lambda::Function,lambda_step_readDDB,latency,0.0514182694535819,availability_Average,2024-05-26 22:57:06.618652,"['PetSite', 'AWS::StepFunctions::StateMachine', 'lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",1_27,"The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB.","On 2024-05-26 22:57:06.618652, a latency issue at target node lambda_step_readDDB_AWS::Lambda::Function, primarily caused by root cause node lambda_step_readDDB, affects availability_Average with a severity of 0.051. The path of the issue is from PetSite, through AWS::StepFunctions::StateMachine to lambda_step_readDDB_AWS::Lambda to lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB, to DynamoDB_AWS::DynamoDB."
Evidently_AWS::Evidently,StepFnStateMachine76D362E8-T67Tg48ke8oK_client,latency,0.0501584535632451,latency_Average,2024-05-26 22:56:59.024661,"['StepFnStateMachine76D362E8-T67Tg48ke8oK_client', 'AWS::StepFunctions::StateMachine', 'lambda_step_priceLessThan55_AWS::Lambda', 'lambda_step_priceLessThan55_AWS::Lambda::Function', 'lambda_step_priceLessThan55', 'Evidently_AWS::Evidently']",0_43,"The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function to lambda_step_priceLessThan55, to Evidently_AWS::Evidently.","On 2024-05-26 22:56:59.024661, a latency issue at target node Evidently_AWS::Evidently, primarily caused by root cause node StepFnStateMachine76D362E8-T67Tg48ke8oK_client, affects latency_Average with a severity of 0.050. The path of the issue is from StepFnStateMachine76D362E8-T67Tg48ke8oK_client, through AWS::StepFunctions::StateMachine to lambda_step_priceLessThan55_AWS::Lambda to lambda_step_priceLessThan55_AWS::Lambda::Function to lambda_step_priceLessThan55, to Evidently_AWS::Evidently."
petlistadoptions_client,petlistadoptions_AWS::ECS::Fargate,latency,0.0411381765595615,latency_p99,2024-05-26 22:57:20.324184,"['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",2_37,"The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:57:20.324184, a latency issue at target node petlistadoptions_client, primarily caused by root cause node petlistadoptions_AWS::ECS::Fargate, affects latency_p99 with a severity of 0.041. The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
S3_AWS::S3,PetSearch_AWS::ECS::Fargate,latency,0.0737187172963231,latency_p99,2024-05-26 22:57:06.838962,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']",1_28,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to S3_AWS::S3.","On 2024-05-26 22:57:06.838962, a latency issue at target node S3_AWS::S3, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects latency_p99 with a severity of 0.074. The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to S3_AWS::S3."
PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage,lambdastatusupdater_AWS::Lambda,latency,0.0919434385991962,availability_Average,2024-05-26 22:56:52.583303,"['PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda']",0_16,The path of the issue is from PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda.,"On 2024-05-26 22:56:52.583303, a latency issue at target node PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage, primarily caused by root cause node lambdastatusupdater_AWS::Lambda, affects availability_Average with a severity of 0.092. The path of the issue is from PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda."
169.254.170.2_remote,petlistadoptions_AWS::ECS::Fargate,latency,0.0787114345411254,latency_p50,2024-05-26 22:57:23.003522,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",2_49,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.","On 2024-05-26 22:57:23.003522, a latency issue at target node 169.254.170.2_remote, primarily caused by root cause node petlistadoptions_AWS::ECS::Fargate, affects latency_p50 with a severity of 0.079. The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote."
payforadoption_AWS::ECS::Container,amazon.com_remote,latency,0.1264467700378475,latency_p90,2024-05-26 22:57:05.278994,"['payforadoption_AWS::ECS::Container', 'amazon.com_remote']",1_21,The path of the issue is from payforadoption_AWS::ECS::Container to amazon.com_remote.,"On 2024-05-26 22:57:05.278994, a latency issue at target node payforadoption_AWS::ECS::Container, primarily caused by root cause node amazon.com_remote, affects latency_p90 with a severity of 0.126. The path of the issue is from payforadoption_AWS::ECS::Container to amazon.com_remote."
PetSite,PetSearch_AWS::ECS::Fargate,latency,0.0503331489514118,latency_Average,2024-05-26 22:56:58.287537,"['PetSite', 'PetSearch_AWS::ECS::Fargate']",0_40,The path of the issue is from PetSite to PetSearch_AWS::ECS::Fargate.,"On 2024-05-26 22:56:58.287537, a latency issue at target node PetSite, primarily caused by root cause node PetSearch_AWS::ECS::Fargate, affects latency_Average with a severity of 0.050. The path of the issue is from PetSite to PetSearch_AWS::ECS::Fargate."
